Ad,Ülke,Takım,Piyasa Değeri,Pozisyon,Doğum Tarihi,Yaş,Maç,Gol,Asist,Şut/M,İ.Ş/M,Pas,Drip./M,T.K/M,H.T.K/M,İ.M.K,B.P/M,İ.O/M
Gabriel Sara,Brezilya,Galatasaray,23.500.000,: Ortasaha,26.06.1999,(25),16,2,5,"1,1","0,4",%83,"0,9","0,8","0,8",%45,38,"1,4"
Mauro Icardi,Arjantin,Galatasaray,13.000.000,: Forvet,19.02.1993,(31),7,4,1,"1,4","0,7",%69,"0,0","0,0","1,3",%44,10,"0,0"
Victor Osimhen,Nijerya,Galatasaray,75.000.000,: Forvet,29.12.1998,(26),12,10,3,"3,7","1,8",%65,"0,6","0,1","2,4",%51,6,"0,2"
Yunus Akgün,Türkiye,Galatasaray,11.500.000,: Forvet,7.07.2000,(24),17,6,5,"1,2","0,8",%80,"1,2","0,4","0,3",%31,18,"0,3"
Michy Batshuayi,Belçika,Galatasaray,7.500.000,: Forvet,2.10.1993,(31),16,5,2,"0,9","0,5",%78,"0,2","0,1","0,1",%18,7,"0,0"
Barış Alper Yılmaz,Türkiye,Galatasaray,20.000.000,: Forvet,23.05.2000,(24),17,8,1,"1,9","1,2",%77,"1,6","0,9","2,2",%46,20,"0,5"
Dries Mertens,Belçika,Galatasaray,1.750.000,: Forvet,6.05.1987,(37),17,4,6,"1,5","0,9",%70,"0,2","0,7","0,1",%47,19,"1,4"
Hakim Ziyech,Fas,Galatasaray,5.500.000,: Ortasaha,19.03.1993,(31),5,0,1,"1,6","0,6",%79,"0,8","0,6","0,0",%44,12,"0,8"
Roland Sallai,Macaristan,Galatasaray,13.000.000,: Ortasaha,22.05.1997,(27),11,1,0,"1,3","0,8",%85,"0,8","1,3","0,5",%52,17,"0,5"
Kerem Demirbay,Almanya,Galatasaray,5.000.000,: Ortasaha,3.07.1993,(31),13,0,1,"0,3","0,1",%80,"0,3","0,8","0,2",%49,12,"0,2"
Berkan Kutlu,Türkiye,Galatasaray,3.500.000,: Ortasaha,25.01.1998,(26),14,0,1,"0,3","0,0",%82,"0,6","0,4","0,4",%48,16,"0,6"
Lucas Torreira,Uruguay,Galatasaray,15.000.000,: Ortasaha,11.02.1996,(28),16,0,4,"0,2","0,2",%88,"0,4","1,7","0,5",%53,41,"0,1"
Metehan Baltacı,Türkiye,Galatasaray,3.000.000,: Defans,3.11.2002,(22),7,0,1,"0,3","0,3",%93,"0,0","0,1","0,9",%43,16,"0,1"
Ismail Jakobs,Senegal,Galatasaray,8.000.000,: Defans,17.08.1999,(25),9,0,1,"0,0","0,0",%76,"0,0","0,8","1,0",%50,19,"0,3"
Victor Nelsson,Danimarka,Galatasaray,14.500.000,: Defans,14.10.1998,(26),9,0,0,"0,1","0,1",%78,"0,0","0,1","2,0",%63,14,"0,0"
Davinson Sanchez,Kolombiya,Galatasaray,19.500.000,: Defans,12.07.1996,(28),12,2,0,"1,0","0,4",%83,"0,3","1,3","2,4",%58,39,"0,1"
